_price,_crawlTime,_primary_img_url,_offer,_out_of_stock,_description,_categories,_retailer_sku,_url,_title
$8.25 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0042016_0.png,,FALSE,"Air Wick <br/>
Freshmatic Mini Citrus Refill","Air, Room & Car Fragrances ",prod-data-id109991,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick F'MATIC Mini Citrus Ref
$4.90 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0044693_0.png,,FALSE,"Scotch Brite <br/>
Non-Scratch Scrub Sponges <br/>
<span style= ""color: gray""> 3S </span>",Dish Cleaning Equipments,prod-data-id110038,https://allforyou.sg/dish-cleaning-equipments?pagenumber=1,S/Brite 520-3PK N-Scratch S/Sponge 3S
$4.90 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0016826_0.png,,FALSE,"Scotch Brite <br/>
Heavy Duty Scrub Sponge <br/>
<span style= ""color: gray""> 3S </span>",Dish Cleaning Equipments,prod-data-id110039,https://allforyou.sg/dish-cleaning-equipments?pagenumber=1,S/Brite 420-3PK H/Duty Scrub Sponge 3S
$10.90 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0009761_0.png,,FALSE,,"Air, Room & Car Fragrances ",prod-data-id110096,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick F'MATIC Comp.Lav(Vp)
$10.90 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0008748_0.png,,FALSE,,"Air, Room & Car Fragrances ",prod-data-id110097,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick F'MATIC Comp.Citrus(Vp)
$10.90 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0008749_0.png,,FALSE,,"Air, Room & Car Fragrances ",prod-data-id110098,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick Sandstone Gadget F.Bouquet 250ML
$13.95 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0014343_0.png,,FALSE,"Thirsty Hippo 
600ml 8 ","Air, Room & Car Fragrances ",prod-data-id110192,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,T/Hippo 600ML 6+2
$4.50 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0051670_0.png,,FALSE,"Magiclean Handy Duster Refill<br/>
<span style=""color: grey;"">3S</span>",Household Cleaning Equipments,prod-data-id110194,https://allforyou.sg/household-cleaning-equipments?pagenumber=1,Magiclean Handy Duster Ref 3S
$0.65 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0015090_0.png,,FALSE,V139 String 1S 28GM+-5%(N) ,Misc.,prod-data-id110328,https://allforyou.sg/misc-2?pagenumber=1,V139 String 1S 28GM+-5%(N)
$0.70 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,,FALSE,"Happy Grass <br/>
Mould HGMA13 <br/>",Kitchen & Dining,prod-data-id110359,https://allforyou.sg/kitchen-dining?pagenumber=1,Happy Grass Mould HGMA13
$1.50 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,,FALSE,"Happy Grass <br/>
Mould HGMA32 <br/>
",Misc.,prod-data-id110362,https://allforyou.sg/misc-2?pagenumber=1,Happy Grass Mould HGMA32
$3.85 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0044703_0.png,,FALSE,"Scotch Brite <br/>
Sponge Cloth <br/>
<span style= ""color: gray""> 2S </span>",Dish Cleaning Equipments,prod-data-id110382,https://allforyou.sg/dish-cleaning-equipments?pagenumber=1,3M S/Brite Sponge Cloth 2S 9055
